\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 112.3813252734600 -21.4694181314900
 084.8243969566300 -68.3786339651000
 283.1730030808600 -58.6833219058100
 010.2395023991900 +41.0074098811600
 086.0583340159100 +37.5868711259700
 011.0640482295829 -73.1938205949156
 237.9723589486699 +04.2581845290300
 074.1337434397400 -66.9050957704800
 323.3730724501146 +52.8261571945233
 080.6848859791000 -70.1609186092800
 011.5379744130500 -72.4850703927500
 085.3409921772200 -70.4402425288000
 015.6937765676200 -71.9877551321700
 324.2209194336008 +52.2014781776208
 081.4214942145000 -69.8479259610300
 226.6902845265579 -58.4941976137994
 080.9684693971400 -69.1119557467100
 089.2386970150200 -66.1255585243900
 284.5258826380002 +09.8755618122258
 284.0074731182084 +09.5430464701872
 206.2186052169600 +19.4708494000200
 077.3643277391700 -68.0679881342500
 010.81443012000   +41.87877848000  
 015.8012312869800 -71.8466167485800
 011.1540542166679 +41.8764526020058
 081.9931243222400 -65.0500854286700
 047.0324966574392 +56.9490104666075
 270.3826052703600 -26.6639007656600
 291.7864017748175 +21.3104648872622
 149.84987         +30.74031        
 010.0230731323000 +40.5773288530600
 084.3443250241500 -70.2045071164500
 017.1086388292000 -72.7393297990400
 077.3251187765400 -69.2990636766600
 083.4965910023600 -67.5913827770400
 209.4119271743900 -64.7623813098136
 023.3291347391492 +30.4526300368683
 010.1193959736200 +40.8176068182200
 089.6857995590500 +07.4638321681800
 207.4602658564000 -59.8107284748800
 265.0096821923600 -27.6193616859800
 010.0390588902000 +40.6118071984000
 013.3774260492800 -73.2940637664800
 011.31766922000   +41.78682700000  
 011.05431319000   +41.27166184000  
 017.0487562766800 -73.6646588865400
 016.6129057948300 -73.2925085618700
 077.5593594573700 -66.2777734099300
 016.1587741268800 -71.4657038683000
 224.92596         -54.30925        
 014.3882549904100 -71.8880838400200
 072.5597479040000 -68.8244143068000
 258.24750         -38.99986        
 018.5782865248100 -72.7634512774500
 317.5039268713854 +52.6255497191075
 146.7239374432612 -55.9268172896294
 012.3468989010000 -72.9685547751600
 235.13487         -55.61808        
 010.6587916630000 +40.9612930372400
 295.5478953433900 +24.6127328781700
 097.3976246369100 -69.2816427137100
 018.0364708230400 -72.7587624992900
 001.0066914743321 +65.7768500202481
 013.1244349623300 -72.7106913170100
 012.2180008443300 -73.4097364925500
 093.0915114830000 +13.6365983027300
 100.9757591568500 -02.5431103357700
 079.1322795399800 -65.9848981994400
 013.3912821718500 -73.1246311637400
 203.6633799883800 -67.3775308529100
 016.4854462056900 -71.9840960245500
 012.7842528971700 -73.1372721264100
 071.7540897118000 -70.0979191010900
 041.0808431101700 +64.7659182088100
 010.00326866000   +40.56264239000  
 010.09056279000   +40.66726860000  
 080.7000644832700 -69.3341949319300
 010.05432971000   +40.60529602000  
 080.4788969068000 -69.3639904529800
 128.39829         -43.50503        
 302.5327216792938 +33.9024147676042
 016.5124046804000 -71.8645202899900
 073.9517893640700 -68.7965606858000
 013.3634898366900 -73.1117633170700
 074.2864343249300 -69.8870736378800
 087.4173191904100 -67.0077267502800
 077.5780816902500 -70.0837050122900
 011.1021275297400 +41.6020034053900
 088.6835372383800 -67.9483861739100
 313.7154228056496 +48.3143211994675
 011.3933937715400 +41.9372866438800
 015.1394278838700 -72.7892607144000
 298.8554856628016 +27.5438299978994
 112.4562123714058 -32.1306819519578
 283.4897213559200 +09.7233918897414
 199.6345608669100 +33.8813070548000
 017.9673084114100 -73.7763040812600
 253.9739985223050 -16.5325694095461
 081.3763465528917 -69.8370500261272
 227.4890163365100 -57.1232448426800
 013.4546419832100 -71.6973548962800
 086.65187         -70.70958        
 113.1685303949679 -24.8549504293356
 112.6588484407242 -31.2526758739178
 020.4265395766700 +61.7687246033500
 134.4461799238000 -45.8775027743100
 013.7974518177279 -72.6386907609233
 218.8165636604800 -59.7546232463200
 193.7533666432599 -63.4947808625700
 273.9737747598000 -12.0508741128500
 258.06871         -38.54608        
 079.4701803574496 -66.0728656039797
 078.3791500125800 -69.1076523737700
 272.4445405451500 -18.3772841723500
 296.4625281689858 +27.4351893107908
 069.7636914016200 -68.3097968172600
 288.0369322731008 +04.0156276187467
 013.4660356267600 -73.8124777702700
 075.2666615553600 -70.8521230458200
 009.89575512000   +40.39334433000  
 075.2327988546100 -68.4391154383300
 346.6923927847071 +62.3596031387422
 077.6529581230900 -65.5588920000000
 010.0788339961700 +40.6540484199400
 010.17337975000   +40.56136962000  
 083.4578432744100 -70.3778585310300
 083.9559384453300 -66.7004700409900
 248.19333         -47.65336        
 081.7623765559900 -70.4709338353800
 082.7838840876000 -71.1435948531200
 267.9829491339567 -28.4232909458811
 009.7649821687400 -73.4683128856500
 072.3161368115500 -68.1331252971700
 014.7040906292200 -72.8172053075000
 015.9819728143800 -72.7759256106700
 010.62258614000   +41.64028840000  
 014.2825717272600 -71.2570585214000
 079.3255926536200 -69.2774301493000
 016.8748705390600 -72.6396149290900
 271.30471         -22.01689        
 012.3631854607600 -72.6897890167000
 016.1934123196200 -76.8604974916800
 077.9958633429700 -69.0573146138900
 012.1310823866400 -73.2667862309000
 244.54812         -50.36511        
 015.6336061516000 -71.7333296513700
 081.7531268677800 -69.7963062131300
 013.2000390420800 -72.2050467138000
 291.3018958235513 +18.1782660329858
 111.9123855839554 -27.8325562146689
 219.73904         -60.01014        
 084.6439722363100 -70.5530775457500
 291.2487096268971 +16.1807642346289
 073.5145401022100 -70.5034412210900
